 STATE  SPENDING  INCOME
  AL     275       6247
  AR     275       6183
  CT     531       8914
  FL     316       7505
  ID     304       6813
  IA     431       7873
  LA     316       6640
  MA     427       8063
  MS     259       5736
  NB     294       7391
  NJ     423       8818
  NC     335       6607
  OK     320       6951
  RI     342       7526
  TN     268       6489
  VT     353       6541
  WV     320       6456
  AK     821      10851
  CA     387       8850
  DE     424       8604
  GA     265       6700
  IL     437       8745
  KS     355       8001
  ME     327       6333
  MI     466       8442
  MO     274       7342
  NV     359       9032
  NM     388       6505
  ND     311       7478
  OR     397       7839
  SC     315       6242
  TX     315       7697
  VA     356       7624
  AZ     339       7374
  CO     452       8001
  DC     428      10022
  HI     403       8380
  IN     345       7696
  KY     260       6615
  MD     427       8306
  MN     477       7847
  MT     433       7051
  NH     279       7277
  NY     447       8267
  OH     322       7812
  PA     412       7733
  SD     321       6841
  UT     417       6622
  WA     415       8450
  WY     500       9096
